#1_usercol	2_usercol	3_usercol	4_usercol	5_usercol	6_pct_at	7_pct_gc	8_num_A	9_num_C	10_num_G	11_num_T	12_num_N	13_num_oth	14_seq_len
gi|556503834|ref|NC_000913.3|	63429	65780	polB	-	0.446193	0.553807	517	659	643	532	0	0	2351
gi|556503834|ref|NC_000913.3|	65855	66550	araD	-	0.446043	0.553957	136	185	200	174	0	0	695
gi|556503834|ref|NC_000913.3|	66835	68337	araA	-	0.444740	0.555260	324	416	418	344	0	0	1502
gi|556503834|ref|NC_000913.3|	68348	70048	araB	-	0.419412	0.580588	364	501	486	349	0	0	1700
gi|556503834|ref|NC_000913.3|	70387	71265	araC	+	0.473804	0.526196	194	219	243	222	0	0	878
gi|556503834|ref|NC_000913.3|	71351	72115	yabI	+	0.460733	0.539267	124	163	249	228	0	0	764
gi|556503834|ref|NC_000913.3|	72229	72927	thiQ	-	0.429799	0.570201	152	222	176	148	0	0	698
gi|556503834|ref|NC_000913.3|	72911	74521	thiP	-	0.415528	0.584472	415	495	446	254	0	0	1610
gi|556503834|ref|NC_000913.3|	74497	75480	thiB	-	0.466938	0.533062	209	265	259	250	0	0	983
gi|556503834|ref|NC_000913.3|	75644	77299	sgrR	-	0.450755	0.549245	364	447	462	382	0	0	1655
gi|556503834|ref|NC_000913.3|	78848	79453	leuD	-	0.484298	0.515702	144	162	150	149	0	0	605
gi|556503834|ref|NC_000913.3|	79464	80864	leuC	-	0.442143	0.557857	274	395	386	345	0	0	1400
gi|556503834|ref|NC_000913.3|	80867	81958	leuB	-	0.444546	0.555454	233	308	298	252	0	0	1091
gi|556503834|ref|NC_000913.3|	81958	83529	leuA	-	0.469764	0.530236	328	422	411	410	0	0	1571
gi|556503834|ref|NC_000913.3|	87357	87848	ilvH	+	0.496945	0.503055	123	109	138	121	0	0	491
gi|556503834|ref|NC_000913.3|	88028	89032	cra	+	0.451195	0.548805	219	269	282	234	0	0	1004
gi|556503834|ref|NC_000913.3|	89634	90092	mraZ	+	0.478166	0.521834	114	110	129	105	0	0	458
gi|556503834|ref|NC_000913.3|	90094	91035	rsmH	+	0.447396	0.552604	215	248	272	206	0	0	941
gi|556503834|ref|NC_000913.3|	91413	93179	ftsI	+	0.459796	0.540204	414	445	509	398	0	0	1766
gi|556503834|ref|NC_000913.3|	93166	94653	murE	+	0.434432	0.565568	325	368	473	321	0	0	1487
gi|556503834|ref|NC_000913.3|	94650	96008	murF	+	0.448454	0.551546	314	360	389	295	0	0	1358
gi|556503834|ref|NC_000913.3|	96002	97084	mraY	+	0.465804	0.534196	189	260	318	315	0	0	1082
gi|556503834|ref|NC_000913.3|	97087	98403	murD	+	0.450608	0.549392	293	323	400	300	0	0	1316
gi|556503834|ref|NC_000913.3|	98403	99647	ftsW	+	0.469453	0.530547	234	295	365	350	0	0	1244
gi|556503834|ref|NC_000913.3|	99644	100711	murG	+	0.438613	0.561387	235	255	344	233	0	0	1067
gi|556503834|ref|NC_000913.3|	100765	102240	murC	+	0.452203	0.547797	329	372	436	338	0	0	1475
gi|556503834|ref|NC_000913.3|	103155	103985	ftsQ	+	0.466265	0.533735	210	194	249	177	0	0	830
gi|556503834|ref|NC_000913.3|	103982	105244	ftsA	+	0.478605	0.521395	315	272	386	289	0	0	1262
gi|556503834|ref|NC_000913.3|	105305	106456	ftsZ	+	0.457863	0.542137	266	270	354	261	0	0	1151
gi|556503834|ref|NC_000913.3|	106557	107474	lpxC	+	0.488550	0.511450	211	232	237	237	0	0	917
gi|556503834|ref|NC_000913.3|	107705	108217	secM	+	0.460938	0.539062	122	155	121	114	0	0	512
gi|556503834|ref|NC_000913.3|	108279	110984	secA	+	0.475786	0.524214	719	669	749	568	0	0	2705
gi|556503834|ref|NC_000913.3|	111856	112599	zapD	-	0.484522	0.515478	191	188	195	169	0	0	743
gi|556503834|ref|NC_000913.3|	112599	113219	coaE	-	0.472581	0.527419	142	165	162	151	0	0	620
gi|556503834|ref|NC_000913.3|	113444	114487	uaC	+	0.486098	0.513902	242	247	289	265	0	0	1043
gi|556503834|ref|NC_000913.3|	114522	115724	hofC	-	0.480033	0.519967	282	331	294	295	0	0	1202
gi|556503834|ref|NC_000913.3|	115714	117099	hofB	-	0.464982	0.535018	317	365	376	327	0	0	1385
gi|556503834|ref|NC_000913.3|	117109	117549	ppdD	-	0.468182	0.531818	100	115	119	106	0	0	440
gi|556503834|ref|NC_000913.3|	117752	118645	adC	-	0.468085	0.531915	193	236	239	225	0	0	893
gi|556503834|ref|NC_000913.3|	118733	119284	ampD	+	0.460980	0.539020	113	140	157	141	0	0	551
gi|556503834|ref|NC_000913.3|	119281	120135	ampE	+	0.478923	0.521077	152	189	256	257	0	0	854
gi|556503834|ref|NC_000913.3|	120178	121551	aroP	-	0.472688	0.527312	369	389	335	280	0	0	1373
gi|556503834|ref|NC_000913.3|	122092	122856	pdhR	+	0.441099	0.558901	177	219	208	160	0	0	764
gi|556503834|ref|NC_000913.3|	123017	125680	aceE	+	0.469395	0.530605	662	697	716	588	0	0	2663
gi|556503834|ref|NC_000913.3|	125695	127587	aceF	+	0.452960	0.547040	476	469	566	381	0	0	1892
gi|556503834|ref|NC_000913.3|	127912	129336	lpd	+	0.469101	0.530899	372	358	398	296	0	0	1424
gi|556503834|ref|NC_000913.3|	129407	131260	yacH	-	0.460874	0.539126	351	461	538	503	0	0	1853
gi|556503834|ref|NC_000913.3|	131615	134212	acnB	+	0.441278	0.558722	579	703	748	567	0	0	2597
gi|556503834|ref|NC_000913.3|	135598	136464	speE	-	0.491917	0.508083	214	208	232	212	0	0	866
gi|556503834|ref|NC_000913.3|	137083	138633	cueO	+	0.452903	0.547097	356	376	472	346	0	0	1550
gi|556503834|ref|NC_000913.3|	138835	141225	cd	-	0.445607	0.554393	542	674	651	523	0	0	2390
gi|556503834|ref|NC_000913.3|	141431	141967	hpt	+	0.492537	0.507463	128	118	154	136	0	0	536
gi|556503834|ref|NC_000913.3|	142008	142670	ca	-	0.492447	0.507553	153	163	173	173	0	0	662
gi|556503834|ref|NC_000913.3|	142779	143705	yadG	+	0.503240	0.496760	254	208	252	212	0	0	926
gi|556503834|ref|NC_000913.3|	143702	144472	yadH	+	0.492208	0.507792	129	180	211	250	0	0	770
gi|556503834|ref|NC_000913.3|	144577	145017	yadI	+	0.506818	0.493182	108	99	118	115	0	0	440
gi|556503834|ref|NC_000913.3|	145081	146310	yadE	+	0.504475	0.495525	314	290	319	306	0	0	1229
gi|556503834|ref|NC_000913.3|	146968	147870	yadD	+	0.511086	0.488914	240	195	246	221	0	0	902
gi|556503834|ref|NC_000913.3|	147944	148795	panC	-	0.472385	0.527615	199	235	214	203	0	0	851
gi|556503834|ref|NC_000913.3|	148807	149601	panB	-	0.453400	0.546600	175	221	213	185	0	0	794
gi|556503834|ref|NC_000913.3|	156299	156883	yadN	-	0.551370	0.448630	159	129	133	163	0	0	584
gi|556503834|ref|NC_000913.3|	157253	157732	folK	-	0.498956	0.501044	116	118	122	123	0	0	479
gi|556503834|ref|NC_000913.3|	157729	159126	pcnB	-	0.440945	0.559055	294	390	391	322	0	0	1397
gi|556503834|ref|NC_000913.3|	159186	160112	luQ	-	0.463283	0.536717	221	238	259	208	0	0	926
gi|556503834|ref|NC_000913.3|	160149	160604	dksA	-	0.472527	0.527473	83	129	111	132	0	0	455
gi|556503834|ref|NC_000913.3|	160782	161486	sfsA	-	0.507102	0.492898	166	177	170	191	0	0	704
gi|556503834|ref|NC_000913.3|	161501	162031	ligT	-	0.439623	0.560377	127	140	157	106	0	0	530
gi|556503834|ref|NC_000913.3|	162105	164534	hrpB	+	0.434335	0.565665	542	625	749	513	0	0	2429
gi|556503834|ref|NC_000913.3|	164730	167264	mrcB	+	0.448303	0.551697	591	636	762	545	0	0	2534
gi|556503834|ref|NC_000913.3|	167484	169727	fhuA	+	0.487294	0.512706	550	563	587	543	0	0	2243
gi|556503834|ref|NC_000913.3|	169778	170575	fhuC	+	0.430364	0.569636	147	208	246	196	0	0	797
gi|556503834|ref|NC_000913.3|	170575	171465	fhuD	+	0.452809	0.547191	187	233	254	216	0	0	890
gi|556503834|ref|NC_000913.3|	171462	173444	fhuB	+	0.402624	0.597376	283	500	684	515	0	0	1982
gi|556503834|ref|NC_000913.3|	173602	174882	hemL	-	0.444531	0.555469	307	387	324	262	0	0	1280
gi|556503834|ref|NC_000913.3|	175107	176528	clcA	+	0.460943	0.539057	264	335	431	391	0	0	1421
gi|556503834|ref|NC_000913.3|	177001	177624	yadS	-	0.462279	0.537721	171	189	146	117	0	0	623
gi|556503834|ref|NC_000913.3|	177662	178462	btuF	-	0.471250	0.528750	179	206	217	198	0	0	800
gi|556503834|ref|NC_000913.3|	178455	179153	mt	-	0.475645	0.524355	170	189	177	162	0	0	698
gi|556503834|ref|NC_000913.3|	179237	180754	dgt	+	0.520105	0.479895	394	344	384	395	0	0	1517
gi|556503834|ref|NC_000913.3|	180884	182308	degP	+	0.459972	0.540028	355	363	406	300	0	0	1424
gi|556503834|ref|NC_000913.3|	184257	185069	yaeI	-	0.486453	0.513547	213	206	211	182	0	0	812
gi|556503834|ref|NC_000913.3|	185123	185947	dapD	-	0.468447	0.531553	188	234	204	198	0	0	824
gi|556503834|ref|NC_000913.3|	185978	188650	lnD	-	0.460329	0.539671	608	695	747	622	0	0	2672
gi|556503834|ref|NC_000913.3|	188712	189506	map	-	0.494962	0.505038	176	205	196	217	0	0	794
gi|556503834|ref|NC_000913.3|	189874	190599	rpsB	+	0.485517	0.514483	186	184	189	166	0	0	725
gi|556503834|ref|NC_000913.3|	190857	191708	tsf	+	0.500588	0.499412	246	186	239	180	0	0	851
gi|556503834|ref|NC_000913.3|	191855	192580	pyrH	+	0.471724	0.528276	176	169	214	166	0	0	725
gi|556503834|ref|NC_000913.3|	192872	193429	frr	+	0.491921	0.508079	163	130	153	111	0	0	557
gi|556503834|ref|NC_000913.3|	193521	194717	dxr	+	0.473244	0.526756	287	297	333	279	0	0	1196
gi|556503834|ref|NC_000913.3|	194903	195664	ispU	+	0.500657	0.499343	197	166	214	184	0	0	761
gi|556503834|ref|NC_000913.3|	195677	196534	cdsA	+	0.491249	0.508751	155	191	245	266	0	0	857
gi|556503834|ref|NC_000913.3|	196546	197898	rseP	+	0.490385	0.509615	298	298	391	365	0	0	1352
gi|556503834|ref|NC_000913.3|	197928	200360	bamA	+	0.493010	0.506990	605	586	647	594	0	0	2432
gi|556503834|ref|NC_000913.3|	200482	200967	skp	+	0.498969	0.501031	142	114	129	100	0	0	485
gi|556503834|ref|NC_000913.3|	200971	201996	lpxD	+	0.471220	0.528780	253	251	291	230	0	0	1025
gi|556503834|ref|NC_000913.3|	202101	202556	fabZ	+	0.494505	0.505495	106	104	126	119	0	0	455
gi|556503834|ref|NC_000913.3|	202560	203348	lpxA	+	0.469543	0.530457	184	198	220	186	0	0	788
gi|556503834|ref|NC_000913.3|	203348	204496	lpxB	+	0.461672	0.538328	263	283	335	267	0	0	1148
gi|556503834|ref|NC_000913.3|	204493	205089	rnhB	+	0.426174	0.573825	129	158	184	125	0	0	596
gi|556503834|ref|NC_000913.3|	205126	208608	dnaE	+	0.450316	0.549684	811	885	1029	757	0	0	3482
gi|556503834|ref|NC_000913.3|	208621	209580	accA	+	0.476538	0.523462	232	231	271	225	0	0	959
gi|556503834|ref|NC_000913.3|	209679	211820	ldcC	+	0.490892	0.509108	531	518	572	520	0	0	2141
gi|556503834|ref|NC_000913.3|	212331	213629	tilS	+	0.419106	0.580894	264	337	417	280	0	0	1298
gi|556503834|ref|NC_000913.3|	214291	214836	yaeQ	+	0.475229	0.524771	130	127	159	129	0	0	545
gi|556503834|ref|NC_000913.3|	214833	215255	arfB	+	0.457346	0.542654	112	109	120	81	0	0	422
gi|556503834|ref|NC_000913.3|	215269	215979	lpE	+	0.476056	0.523944	179	167	205	159	0	0	710
gi|556503834|ref|NC_000913.3|	216179	217003	yaeF	-	0.506068	0.493932	215	199	208	202	0	0	824
gi|556503834|ref|NC_000913.3|	217057	218775	proS	-	0.454598	0.545402	370	494	443	411	0	0	1718
gi|556503834|ref|NC_000913.3|	218887	219594	tsaA	-	0.446959	0.553041	163	197	194	153	0	0	707
gi|556503834|ref|NC_000913.3|	219591	219995	rcsF	-	0.465347	0.534653	86	98	118	102	0	0	404
gi|556503834|ref|NC_000913.3|	220113	220928	metQ	-	0.507975	0.492025	181	210	191	233	0	0	815
gi|556503834|ref|NC_000913.3|	220968	221621	metI	-	0.476263	0.523737	199	190	152	112	0	0	653
gi|556503834|ref|NC_000913.3|	221614	222645	metN	-	0.470417	0.529583	236	280	266	249	0	0	1031
gi|556503834|ref|NC_000913.3|	229167	229970	dkgB	+	0.536737	0.463263	230	181	191	201	0	0	803
gi|556503834|ref|NC_000913.3|	229967	230881	yafC	-	0.503282	0.496718	218	244	210	242	0	0	914
gi|556503834|ref|NC_000913.3|	231926	232549	yafE	+	0.508828	0.491172	164	141	165	153	0	0	623
gi|556503834|ref|NC_000913.3|	232597	233955	mltD	-	0.480118	0.519882	282	378	328	370	0	0	1358
gi|556503834|ref|NC_000913.3|	234816	235538	yafS	+	0.505540	0.494460	171	178	179	194	0	0	722
gi|556503834|ref|NC_000913.3|	235535	236002	rnhA	-	0.494647	0.505353	97	125	111	134	0	0	467
gi|556503834|ref|NC_000913.3|	236067	236798	dnaQ	+	0.497948	0.502052	188	166	201	176	0	0	731
gi|556503834|ref|NC_000913.3|	239419	240189	yafV	-	0.451948	0.548052	191	243	179	157	0	0	770
gi|556503834|ref|NC_000913.3|	240343	240816	ivy	+	0.498943	0.501057	130	102	135	106	0	0	473
gi|556503834|ref|NC_000913.3|	240859	243303	fadE	-	0.430851	0.569149	534	735	656	519	0	0	2444
gi|556503834|ref|NC_000913.3|	243543	244121	mhA	+	0.489619	0.510381	144	139	156	139	0	0	578
gi|556503834|ref|NC_000913.3|	244327	245094	yafJ	+	0.462842	0.537158	184	201	211	171	0	0	767
gi|556503834|ref|NC_000913.3|	245065	245805	yafK	-	0.514865	0.485135	183	180	179	198	0	0	740
gi|556503834|ref|NC_000913.3|	246712	247461	yafL	+	0.475300	0.524700	180	195	198	176	0	0	749
gi|556503834|ref|NC_000913.3|	247637	248134	rayT	+	0.551308	0.448692	135	102	121	139	0	0	497
gi|556503834|ref|NC_000913.3|	250898	251953	dinB	+	0.457820	0.542180	249	276	296	234	0	0	1055
gi|556503834|ref|NC_000913.3|	254259	255716	pepD	-	0.485930	0.514070	338	389	360	370	0	0	1457
gi|556503834|ref|NC_000913.3|	255977	256435	pt	+	0.480349	0.519651	106	111	127	114	0	0	458
gi|556503834|ref|NC_000913.3|	256527	257771	frsA	+	0.463023	0.536977	277	328	340	299	0	0	1244
gi|556503834|ref|NC_000913.3|	259045	260100	phoE	-	0.552607	0.447393	267	263	209	316	0	0	1055
gi|556503834|ref|NC_000913.3|	260388	261491	proB	+	0.436990	0.563010	242	295	326	240	0	0	1103
gi|556503834|ref|NC_000913.3|	261503	262756	proA	+	0.456504	0.543496	305	315	366	267	0	0	1253
gi|556503834|ref|NC_000913.3|	264256	264732	ykfG	-	0.413866	0.586134	100	132	147	97	0	0	476
gi|556503834|ref|NC_000913.3|	264748	265206	yafX	-	0.443231	0.556769	100	116	139	103	0	0	458
gi|556503834|ref|NC_000913.3|	265620	266087	ykfB	-	0.473233	0.526767	106	122	124	115	0	0	467
gi|556503834|ref|NC_000913.3|	266110	266553	yafY	-	0.492099	0.507901	96	108	117	122	0	0	443
gi|556503834|ref|NC_000913.3|	267184	268005	yafZ	-	0.421437	0.578563	171	252	223	175	0	0	821
gi|556503834|ref|NC_000913.3|	268097	268960	ykfA	-	0.431054	0.568946	202	262	229	170	0	0	863
gi|556503834|ref|NC_000913.3|	269289	270182	perR	-	0.519597	0.480403	235	216	213	229	0	0	893
gi|556503834|ref|NC_000913.3|	270603	271754	insI1	+	0.541268	0.458732	371	257	271	252	0	0	1151
gi|556503834|ref|NC_000913.3|	274101	275117	insH1	-	0.452756	0.547244	194	272	284	266	0	0	1016
gi|556503834|ref|NC_000913.3|	275325	276728	mmuP	+	0.451176	0.548824	240	342	428	393	0	0	1403
gi|556503834|ref|NC_000913.3|	277756	278802	afuC	-	0.435946	0.564054	226	306	284	230	0	0	1046
gi|556503834|ref|NC_000913.3|	279178	279681	insB1	-	0.447316	0.552684	104	150	128	121	0	0	503
gi|556503834|ref|NC_000913.3|	280829	281983	yagA	-	0.378683	0.621317	207	377	340	230	0	0	1154
gi|556503834|ref|NC_000913.3|	282278	283186	yagE	+	0.383260	0.616740	174	296	264	174	0	0	908
gi|556503834|ref|NC_000913.3|	283201	285168	yagF	+	0.332486	0.667514	346	628	685	308	0	0	1967
gi|556503834|ref|NC_000913.3|	285395	286777	yagG	+	0.374819	0.625181	216	448	416	302	0	0	1382
gi|556503834|ref|NC_000913.3|	286789	288399	yagH	+	0.355901	0.644099	305	545	492	268	0	0	1610
gi|556503834|ref|NC_000913.3|	288404	289162	yagI	-	0.366755	0.633245	131	238	242	147	0	0	758
gi|556503834|ref|NC_000913.3|	289301	290305	argF	-	0.411355	0.588645	183	335	256	230	0	0	1004
gi|556503834|ref|NC_000913.3|	290649	291152	insB1	-	0.447316	0.552684	104	150	128	121	0	0	503
gi|556503834|ref|NC_000913.3|	295139	295579	yagN	-	0.563636	0.436364	115	78	114	133	0	0	440
gi|556503834|ref|NC_000913.3|	297770	298726	paoD	-	0.399582	0.600418	197	295	279	185	0	0	956
gi|556503834|ref|NC_000913.3|	298736	300934	paoC	-	0.405369	0.594631	410	661	646	481	0	0	2198
gi|556503834|ref|NC_000913.3|	300931	301887	paoB	-	0.392259	0.607741	182	286	295	193	0	0	956
gi|556503834|ref|NC_000913.3|	301884	302573	paoA	-	0.451379	0.548621	143	191	187	168	0	0	689
gi|556503834|ref|NC_000913.3|	302991	303605	yagU	+	0.547231	0.452769	134	131	147	202	0	0	614
gi|556503834|ref|NC_000913.3|	304495	305205	cpE	-	0.469014	0.530986	164	197	180	169	0	0	710
gi|556503834|ref|NC_000913.3|	305174	306817	cpD	-	0.483871	0.516129	373	416	432	422	0	0	1643
gi|556503834|ref|NC_000913.3|	306807	309332	cpC	-	0.447129	0.552871	514	718	678	615	0	0	2525
gi|556503834|ref|NC_000913.3|	309358	310026	cpB	-	0.452096	0.547904	144	168	198	158	0	0	668
gi|556503834|ref|NC_000913.3|	310084	310671	cpA	-	0.470187	0.529813	122	153	158	154	0	0	587
gi|556503834|ref|NC_000913.3|	317726	318319	rclC	-	0.549747	0.450253	170	143	124	156	0	0	593
gi|556503834|ref|NC_000913.3|	320227	321081	rclR	+	0.487119	0.512881	193	205	233	223	0	0	854
gi|556503834|ref|NC_000913.3|	321608	322327	ykgE	+	0.495132	0.504868	183	156	207	173	0	0	719
gi|556503834|ref|NC_000913.3|	322338	323765	ykgF	+	0.497547	0.502453	366	314	403	344	0	0	1427
gi|556503834|ref|NC_000913.3|	323758	324453	ykgG	+	0.477698	0.522302	165	155	208	167	0	0	695
gi|556503834|ref|NC_000913.3|	325577	327247	betA	-	0.428743	0.571257	340	490	464	376	0	0	1670
gi|556503834|ref|NC_000913.3|	327261	328733	betB	-	0.417120	0.582880	288	441	417	326	0	0	1472
gi|556503834|ref|NC_000913.3|	328747	329334	betI	-	0.431005	0.568995	116	173	161	137	0	0	587
gi|556503834|ref|NC_000913.3|	329463	331496	betT	+	0.446631	0.553369	385	524	601	523	0	0	2033
gi|556503834|ref|NC_000913.3|	333501	334433	yahB	-	0.506438	0.493562	238	233	227	234	0	0	932
gi|556503834|ref|NC_000913.3|	334525	335022	yahC	-	0.470825	0.529175	146	159	104	88	0	0	497
gi|556503834|ref|NC_000913.3|	335280	335885	yahD	+	0.545455	0.454545	169	124	151	161	0	0	605
gi|556503834|ref|NC_000913.3|	335925	336788	yahE	+	0.529548	0.470452	232	192	214	225	0	0	863
gi|556503834|ref|NC_000913.3|	338325	339743	yahG	+	0.416079	0.583921	303	381	447	287	0	0	1418
gi|556503834|ref|NC_000913.3|	340165	341115	yahI	+	0.437895	0.562105	226	252	282	190	0	0	950
gi|556503834|ref|NC_000913.3|	341125	342507	yahJ	+	0.437048	0.562952	336	386	392	268	0	0	1382
gi|556503834|ref|NC_000913.3|	342884	343933	yahK	+	0.466158	0.533842	245	250	310	244	0	0	1049
gi|556503834|ref|NC_000913.3|	345666	346337	yahN	-	0.505216	0.494784	210	178	154	129	0	0	671
gi|556503834|ref|NC_000913.3|	346857	348443	prpR	-	0.447667	0.552333	347	455	421	363	0	0	1586
gi|556503834|ref|NC_000913.3|	348682	349572	prpB	+	0.438202	0.561798	191	241	259	199	0	0	890
gi|556503834|ref|NC_000913.3|	350012	351181	prpC	+	0.443114	0.556886	279	331	320	239	0	0	1169
gi|556503834|ref|NC_000913.3|	351215	352666	prpD	+	0.430048	0.569952	330	437	390	294	0	0	1451
gi|556503834|ref|NC_000913.3|	352706	354592	prpE	+	0.415695	0.584305	373	488	614	411	0	0	1886
gi|556503834|ref|NC_000913.3|	354922	356181	codB	+	0.461477	0.538523	216	310	368	365	0	0	1259
gi|556503834|ref|NC_000913.3|	356171	357454	codA	+	0.466095	0.533905	318	332	353	280	0	0	1283
gi|556503834|ref|NC_000913.3|	357791	358690	cynR	-	0.450501	0.549499	210	255	239	195	0	0	899
gi|556503834|ref|NC_000913.3|	358799	359458	cynT	+	0.427921	0.572079	125	194	183	157	0	0	659
gi|556503834|ref|NC_000913.3|	359489	359959	cynS	+	0.493617	0.506383	113	118	120	119	0	0	470
gi|556503834|ref|NC_000913.3|	359992	361146	cynX	+	0.412478	0.587522	172	304	374	304	0	0	1154
gi|556503834|ref|NC_000913.3|	363231	366305	lacZ	-	0.437215	0.562785	667	888	842	677	0	0	3074
gi|556503834|ref|NC_000913.3|	366428	367510	lacI	-	0.436229	0.563771	233	311	299	239	0	0	1082
gi|556503834|ref|NC_000913.3|	367587	368420	mhpR	-	0.441777	0.558223	170	254	211	198	0	0	833
gi|556503834|ref|NC_000913.3|	368611	370275	mhpA	+	0.429688	0.570312	351	441	508	364	0	0	1664
gi|556503834|ref|NC_000913.3|	370277	371221	mhpB	+	0.421610	0.578390	176	254	292	222	0	0	944
gi|556503834|ref|NC_000913.3|	371239	372105	mhpC	+	0.452656	0.547344	188	221	253	204	0	0	866
gi|556503834|ref|NC_000913.3|	372115	372924	mhpD	+	0.447466	0.552534	182	199	248	180	0	0	809
gi|556503834|ref|NC_000913.3|	372921	373871	mhpF	+	0.454737	0.545263	224	240	278	208	0	0	950
gi|556503834|ref|NC_000913.3|	373868	374881	mhpE	+	0.434353	0.565647	223	252	321	217	0	0	1013
gi|556503834|ref|NC_000913.3|	375459	376670	mhpT	+	0.425268	0.574732	187	289	407	328	0	0	1211
